iter,clap,score,lead_cutoff_hz,lead_gain,pad_cutoff_slider,pad_gain,hihat_gain,bass_cutoff_g1,reverb_room,reverb_wet,sidechain_depth,gain_kick,gain_bass,gain_pluck,kick_decay_s,kick_pitch_floor,hihat_decay_s
1,0.58118,0.48573,7975.23163,0.21437,0.6394,3.55895,0.43123,0.74336,0.31189,0.28323,0.34169,0.76661,0.24975,0.04612,0.10094,52.37355,0.01135
2,0.43863,0.37006,6045.04914,0.19751,0.54826,2.8053,0.6543,0.38219,0.22812,0.24333,0.42845,0.73333,0.2897,0.12635,0.16307,48.59089,0.03076
3,0.43863,0.3332,6031.23669,0.57974,0.6357,4.25371,0.16114,0.67192,0.20281,0.0636,0.35477,0.68943,0.36311,0.1351,0.12384,68.06156,0.08748
4,0.54647,0.54109,9605.40555,0.33302,0.68168,4.97177,1.12879,0.46888,0.39197,0.33421,0.32395,0.61047,0.42794,0.0957,0.18499,54.13442,0.04126
5,0.50358,0.39334,10774.71649,0.31231,0.75229,1.39736,0.10907,0.43603,0.45429,0.19985,0.76602,0.70352,0.47384,0.23327,0.10001,41.16705,0.01337
6,0.47276,0.44992,10199.80216,0.32112,0.85774,1.43025,1.44135,0.70108,0.3027,0.37647,0.30815,0.76702,0.46452,0.19159,0.19776,71.33808,0.00557
7,0.50341,0.42566,8630.24733,0.372,0.86614,2.56693,0.16097,0.74989,0.21589,0.30112,0.43334,0.79842,0.53778,0.17785,0.1772,37.98741,0.05371
8,0.54349,0.46373,8448.17276,0.24657,0.83828,4.94147,0.11399,0.46395,0.41563,0.18759,0.40525,0.4638,0.46823,0.13061,0.11163,45.33507,0.03751
9,0.55293,0.52788,8759.81738,0.35304,0.77951,4.00007,0.77107,0.69636,0.2564,0.27716,0.39575,0.60166,0.50283,0.12963,0.2285,68.78005,0.04141
10,0.53723,0.52924,9845.97049,0.35831,0.48086,4.36416,1.04218,0.44116,0.42373,0.3783,0.34321,0.74266,0.18234,0.0066,0.21396,61.86347,0.03466
11,0.50173,0.49458,3831.92348,0.05463,0.86516,4.99736,0.85878,0.34197,0.51388,0.31026,0.41038,0.69838,0.4042,0.15179,0.12983,57.38067,0.03633
12,0.53015,0.53015,10937.19679,0.22232,0.87939,3.96639,1.30587,0.68154,0.52346,0.32992,0.30365,0.53313,0.4956,0.03758,0.20405,48.19438,0.06283
13,0.51777,0.51777,11984.83288,0.40527,0.74009,4.53886,1.00948,0.56593,0.64148,0.41903,0.36991,0.77943,0.43052,0.15183,0.33772,33.67753,0.05012
14,0.50637,0.50637,6925.27425,0.43747,0.88897,4.89316,1.46257,0.35747,0.48863,0.23507,0.30519,0.63531,0.55453,0.12524,0.15883,44.32004,0.06073
